SA1_7DIGITCODE_2016,SA2_MAINCODE_2016
1132223,117011322
1132224,117011322
1132225,117011322
1132226,117011322
1132227,117011322
1132228,117011322
1132229,117011322
1132230,117011322
1132231,117011322
1132232,117011322
1132233,117011322
1132234,117011322
1132235,117011322
1132236,117011322
1132237,117011322
1132238,117011322
1132239,117011322
1132240,117011322
1132241,117011322
1132242,117011322
1132243,117011322
1132244,117011322
1132245,117011322
1132246,117011322
1132247,117011322
1132301,117011323
1132302,117011323
1132309,117011323
1132310,117011323
1132311,117011323
1132312,117011323
1132313,117011323
1132314,117011323
1132315,117011323
1132316,117011323
1132317,117011323
1132318,117011323
1132319,117011323
1132320,117011323
1132322,117011323
1132323,117011323
1132325,117011323
1132326,117011323
